STATE,group,X,Y
CA,2990,-118.23970990377137,34.05285544508122
CA,2991,-118.41985259229241,33.991630633589594
CA,2992,-118.27739864033582,33.970346037581145
CA,2993,-118.41049483345327,34.253008666240014
CA,2994,-118.44523606439162,34.18369509741856
CA,3002,-120.93491737614238,39.30790911873585
CA,3008,-117.11802856428557,32.700252880232796
CA,3029,-117.8647219548796,34.1346834721193
CA,3048,-119.3204333758304,36.44508173316792
CA,3080,-120.16619205156555,40.151192400039704
CA,3197,-119.97213762546228,38.93406851346786
CA,3201,-122.09261401935984,40.74594990735422
CA,3205,-117.43379001371953,34.10164898689147
CA,3210,-117.93573132424987,33.77637797178579
CA,3233,-118.55153489273061,37.38924437766722
CA,3234,-123.65582208791886,39.369601742968094
CA,3235,-122.62925447576404,39.812020880538185
CA,3236,-119.1067777567882,34.24617618210294
CA,3237,-122.72173227146159,39.65246297326072
CA,3246,-116.68321048445635,33.324496792830374
CA,3252,-119.08573875926615,36.672531541604755
CA,3255,-117.6846118431131,33.98793971761474
CA,3257,-121.15134754193517,38.69382617438355
CA,3258,-115.48434398907797,33.16569338470662
CA,3259,-115.7890554783888,32.82339731671337
CA,3260,-119.00635297402927,35.37967744005512
CA,3273,-119.38441045229905,35.113655036318846
CA,3276,-115.3978593429112,32.69157795488495
CA,3277,-116.91564013710928,32.57596505158054
CA,3290,-118.24935903422384,34.147353996355825
CA,3296,-117.7537923831572,34.05440779795815
CA,3297,-121.63782617568305,39.142859271614746
CA,3304,-118.34228828458333,33.83986898170442
CA,3311,-118.30845716083817,34.18344638965772
CA,3315,-118.19740279234433,33.768875740531584
CA,3340,-118.12667840556448,34.09196046100776
CA,3351,-117.43900344429862,34.55982051130306
CA,3489,-117.88867085559725,34.089954543462504
CA,3492,-121.49413045037514,38.60028006397046
CA,3493,-116.87021077466014,33.91003192267398
CA,3509,-117.38931450177563,34.17753046420301
CA,3510,-117.27345082449624,34.102426166443564
CA,3511,-122.03932122314542,38.24734151133744
CA,3532,-120.6501468116048,40.425690439626194
CA,3537,-118.83469197691598,34.24762761880489
CA,3659,-121.73184962222872,38.65937336190698
CA,3661,-119.18149015536885,34.2008437746943
CA,3734,-121.89223298001708,37.717748768720966
CA,3762,-118.58669461593597,34.46449798832421
CA,4023,-120.48874358299531,38.10642735013849
CA,4026,-122.80394970746939,40.789813810436335
CA,4027,-117.11832774131294,33.42796107126713
CA,4028,-116.90609379831871,34.033329253391365
CA,4029,-119.22806251979057,35.66877058566927
CA,4099,-122.49036653757987,37.94003982582672
CA,4100,-121.38264526152345,36.46686037212031
CA,4104,-123.55627164984045,39.35761681747269
CA,4106,-121.16303240806175,38.69538338964308
CA,4107,-117.57423778643181,33.92808551199973
CA,4108,-114.92603535585542,33.56098104819759
CA,4118,-121.10759015142774,38.93578158635939
CA,4125,-122.70776016530301,38.91057030280079
CA,4145,-120.9534458344265,38.37074335284129
CA,4166,-117.13502194374657,32.69354083578818
CA,4170,-117.12241672121614,33.581147838581074
CA,4171,-120.11980857258173,39.18843161856456
CA,4186,-122.23695248493516,40.17562775523307
CA,4187,-120.99654692997939,37.64002828568618
CA,4210,-120.50185888144159,34.67586486043933
CA,4221,-120.5044507961442,34.68176803641319
CA,4233,-118.26706310399264,33.72649100845486
CA,4234,-120.56116099227636,37.38457443901203
CA,4235,-117.35831453690061,34.568484116766214
CA,4254,-120.153899940052,40.15300841893142
CA,4269,-120.39241780785669,36.7312048906135
CA,4271,-115.5667787124945,32.80300577545285
CA,4330,-120.12310178345085,35.97394934887755
CA,4331,-117.85888004900919,35.15325119853799
CA,4332,-120.51437665570226,40.404308672273665
CA,4333,-121.19058480822531,37.89778735654588
